team,fold_id,n,RMSE,MAE,MAPE,SMAPE,Bias_mean,Bias_sd,model_used
"Team DK 1, Travelcare",1,672,4.447483614364219,3.100776421846872,0.843259112181013,0.6119493896408312,-0.1435398332753442,4.448477791953797,GLM_NegBin_lags
"Team DK 1, Travelcare",2,672,6.634401923143816,4.2146566293829775,0.7711430367608973,0.5993834118582103,0.5686983244809161,6.614906322506339,GLM_NegBin_lags
"Team DK 1, Travelcare",3,672,4.540638415806378,3.186520840918383,0.8642085524794163,0.6345090910847958,-0.04978965800088299,4.543747450393019,GLM_NegBin_lags
"Team DK 1, Travelcare",4,672,64.58276463967852,18.51652563101231,0.9537821715637904,0.6268931610463166,15.236240946110742,62.80653215083259,GLM_NegBin_lags
"Team DK 1, Travelcare",5,672,66.40802684993156,18.9991427354372,0.9491819385793974,0.5967338848409584,15.372633535313073,64.65236499687032,GLM_NegBin_lags
"Team DK 1, Travelcare",6,672,3.665069101435345,2.6986381419812764,0.9523779081372832,0.7222074153175835,-0.06217650367203219,3.667271303463499,GLM_NegBin_lags
"Team FI 1, Travelcare",1,672,3.7582566754342213,2.544687949793884,0.783598068485014,0.7140415948267778,0.22922497928459434,3.754053909520361,GLM_NegBin_lags
"Team FI 1, Travelcare",2,672,2.8730264885479015,2.071020054744092,0.7478866295078749,0.7473633608104091,-0.1715755942901984,2.87003494918348,GLM_NegBin_lags
"Team FI 1, Travelcare",3,672,2.338237786241678,1.751135024687032,0.8502179022870366,0.849663167678605,-0.06022110640103604,2.33920328959747,GLM_NegBin_lags
"Team FI 1, Travelcare",4,672,2.527204910798281,1.8667195898437592,0.8372007068326021,0.8246458884268536,-0.04979920802205014,2.5285963067102397,GLM_NegBin_lags
"Team FI 1, Travelcare",5,672,2.8038052136075984,2.092838899805823,0.8156053141563825,0.8007230501240176,0.010368629192486148,2.8058745231678506,GLM_NegBin_lags
"Team FI 1, Travelcare",6,672,2.8859386013345434,2.122055083863456,0.8048902605820626,0.7586890477626455,-0.09804581756586463,2.886421068478686,GLM_NegBin_lags
"Team NO 1, Travelcare",1,672,3.0550217919360065,2.263323401186566,0.894736297855418,0.7027183042718285,0.09421401509537047,3.0558432496985635,GLM_NegBin_lags
"Team NO 1, Travelcare",2,672,4.1066066745366285,2.9267045486608882,0.8111231861983866,0.6687510804094616,-0.2763647704141583,4.100348769308787,GLM_NegBin_lags
"Team NO 1, Travelcare",3,672,3.34043693143356,2.443642285491531,0.9415261009979059,0.7506481810229534,-0.09862283486285123,3.34146788391546,GLM_NegBin_lags
"Team NO 1, Travelcare",4,672,8.34551185470019,4.308776937604656,0.7077604700785911,0.5723915418188605,1.603396723722968,8.19613642637335,GLM_NegBin_lags
"Team NO 1, Travelcare",5,672,7.304751512052439,4.321499224492717,0.6207983033607333,0.5316615789245731,0.7689316758549105,7.269579064294354,GLM_NegBin_lags
"Team NO 1, Travelcare",6,672,3.3590137255527996,2.526571173568954,0.9995027729649574,0.7525732414268714,0.2963729604042878,3.348405670395932,GLM_NegBin_lags
"Team SE 1, Travelcare",1,672,3.8715047360857056,2.843187432252643,0.8732940900224283,0.6247275628185576,-0.1742869822729243,3.8704606093414773,GLM_NegBin_lags
"Team SE 1, Travelcare",2,672,3.5881147415489285,2.6757645223894855,0.9551758355331538,0.7004732017162842,0.019282887067930254,3.5907356000360817,GLM_NegBin_lags
"Team SE 1, Travelcare",3,672,3.769396192656085,2.7661784640235325,0.8912424352053157,0.6794492892211023,-0.354748873160958,3.7554611205381474,GLM_NegBin_lags
"Team SE 1, Travelcare",4,672,5.575606152588746,3.7431675620644347,0.7398202741243126,0.5625439115926254,0.8901090481234128,5.508197438040627,GLM_NegBin_lags
"Team SE 1, Travelcare",5,672,5.120238958240338,3.553371499158148,0.6457369602236676,0.5043139798168539,0.1666271631568731,5.1213389174129755,GLM_NegBin_lags
"Team SE 1, Travelcare",6,672,3.2856006204559858,2.554393114327407,1.0499516518612757,0.7245562511441255,0.2644590713210384,3.2773795615237726,GLM_NegBin_lags
"Team SE 2, Travelcare",1,672,3.007820899172588,2.1491667337057585,0.6421389271413924,0.6746467634983839,-0.20498457985127524,3.003063120201658,GLM_NegBin_baseline
"Team SE 2, Travelcare",2,672,2.7545729672027353,1.968095108903267,0.5874768278127863,0.7101201246896774,-0.396503531595393,2.727916950303779,GLM_NegBin_baseline
"Team SE 2, Travelcare",3,672,2.657991941840376,1.918181255918298,0.843991230808496,0.8269678483869135,0.5514605537033959,2.6020930319661417,GLM_NegBin_baseline
"Team SE 2, Travelcare",4,672,3.273055034968081,2.38488555493752,0.6881307754046893,0.6593308015226551,0.47856575286788067,3.2402913944095153,GLM_NegBin_baseline
"Team SE 2, Travelcare",5,672,3.755859898247409,2.784704471270137,0.7466619117704735,0.6289724754409752,1.3558272547671295,3.5052103377558095,GLM_NegBin_baseline
"Team SE 2, Travelcare",6,672,3.5936871950256997,2.550829734593355,0.8132145207735024,0.7459996187895709,1.3643070546234024,3.327119884227427,GLM_NegBin_baseline
